proverbs
ဇရပ်မသွီး(မီးသွေး) တန်းထား(တံတား)မာချီး။
ပန်းကြောင့်ဝါးခြမ်းကိုခေါင်းမာတင်ရေ၊ဘုရားကြောင့်ကျောက်ကိုခေါင်းပေါ်တင်ရေ။
ဆင်းရဲ လ(လူ)မွဲကို နတ်မြင်၊ မချိလို့ သွားကြဲဂေ ရယ်ယောင်ထင်ရေ။
ဆင်းရဲလို့ အငှားခံဂေ၊ သူဋ္ဌီးသားက အကြွီးခိုင်းရေ။
ဆင်းရဲလို့ဖင်ခံဂေ၊ သူဋ္ဌီးသားက အကြွီးနှက်တေ။ (စကားပုံဟိအတိုင်းပါ။ရိုင်းဂါရိုင်းပါရေ)
မဟိမကောင်း ဟိမကောင်း၊ မကောင်းခက်တေ ကောင်းခက်တေ။
မဟိဒုက္ခ ဟိဒုက္ခ။
မပြေဂေမဗြီး မတီးဂေမမြည်။
လိပ်မှိုကိုရရေပိုင်ချောင်။
ကျွဲနားမာ စောင်းတီးရေပိုင်ချောင်။
သောင်ပြင်မာတင်ထားရေ ခွီးပိုင်။
ချစ်ဂါ ချစ်တေ ယဂေလေ့။
"လင်ရဖို့ခါ မ,ရာနားပဲ့ရေ။"
မပြည့်ရီအိုး ဘောင်ဘင်ခတ်။
အိမ်ဂါးအဆွီး မောင်းဂါကြီး။
အကောင်းပြောဂေ င/ယောင်းဖလာ။
အိုးမပူဘဲ ခွက်ပူရေ။
ကိုယ့်နန့်မဆိုင် ခွင်းမပိုင်၊ ဆွဲကိုင်မပြုရာ။
မတူမတန် ရွှီပင်းကန်၊ မတန်ရေလောင်း မစီးကောင်း။
ဆင်းရဲခြင်းကို ပွဲမာပြရေ။
လူမပေါ်ခင် ချီးပေါ်ရေ။
"အရက်မူး မ,ရာ နွားခိုးပေါ်ရေ။"
လက်ဆောင်မပါ ဂါထာမစူး။
ပွဲမဝင်ခင် ပြင်မာကျင့်။
မထိုင်ခင်ကပင် ခြီဆင်းရေ။
ခရမ်းသီးဖိုး ဂြိတ်ဖိုးမာထင့်ရေ။
တောင်ကျရီပိုင်ချောင်။
ချင်းဓားပိုင်ချောင်။
တနှစ်လုံးနွားကျောင်း နွားထီးမှန်းနွားမမှန်းမသိ။
ကုလားကိုသတ် ဇီးကိုခွပ်။
မယားကိုသတ် ဇီးကိုခွပ်။
အရိုးကွဲယာင်ရိုက်က အသဲစွဲအောင်ချစ်။
ရွာနားကမြက်ကို ရွာနွားမစား။
အပျိုလိုဂေ အအိုကိုကပ်။
ငါးကြီးလိုဂေ ငါးချေနန့်မျှား။
ဖုန်း(ဘုန်း)ကြီးမာတရား လူမာမယား။
ရွှီဟိရေဖ(ဘု)ရား ကို လူရိုသေ။
ရွှီအကြောင်း ဖယောင်းသိ။
အကြောင်းကံမကောင်း ဖ(ဘု)ရားလောင်း နွားကျောင်းကျ။
ပန်းထိမ်ရရိုး အမိရွှီတကျပ်က တမတ်ခိုး။
မျောက်မီးဇရရေပိုင်။
"ဒုတ်ကျ မ,ရာ ဓမြ(ဓားပြ)မှန်းသိရေ။"
အသွင်မတူ အိမ်သူမဖြစ်။
’ဝ’မဟိဘဲ ‘ဝိ’လုပ်နိန်ရေ။
’ရ’ကိုမနိုင် ရခိုင်ကိုမိန်း။
’ရ’ကိုမသိ ရခိုင်နန့်ညှိ။
ကောက်ရှိုးပုံကိုစောင့်ရေ ခွီးပိုင်။
စည်ခြောက်တောဝင်ရေ ချီ(ဂျီ)ပိုင်။
မမီရေပန်းကို တုံးခုလို့လှမ်းရေ။
မငိုတတ်ကေ ရယ်စော်နန့်တူရေ။
မရယ်တတ်ကေ ငိုစော်နန့်တူရေ။
မပြောတတ်ကေ ဆဲးစော်နန့်တူရေ။
ရီပြင်မာ စာရီးရေပိုင်။
ရွာသူကြီးထုံးဗူး။
ဇာတီဗြီးကေ မြန်းကိုဖြတ်။
အသီးကိုစားချင်ဂေ အပင်ကိုစိုက်။
အရိပ်ကိုလဲးခို အကိုင်းကိုလဲးချိုးး။
ပဇ(ပါးစပ်)ကဖ(ဘု)ရား၂ လက်ကကားရားကားရား။
ဗူးဆိုဂေ ဖရုံမသီး။
ချောင်းကကောက်ကို လောင်းကကောက်နန့်လှော်။
သနားဂေ သနာရောက်တေ။
ဖျားလို့မနိန် တက်ရာတက်လာရေ။
ယားရေအကွက်ကို လက်ကျရေ။
င/သပြေသခသီး(သခွားသီး) ခိုးရေပိုင်။
ဂျင်းနည်းဂေ ပလဲလှောက်တေ။
နပျိုးသီးမှန်း -ီးမှန်းမသိ ခုံမာတင်ထားဂေ ကောက်စားဖို့ရာသိရေ။
ချီးကိုရွှီဖြစ်အောင်ငြင်းရေ။
ဆရာမပြ င/ပိဖုတ်တောင်နည်းမကျ။
ကိုယ့်စော်ကိုလည်း မမီး၊ လူစော်ကိုလည်းမစုပ်။
အသိခေါက်ခက် အဝင်နက်။
ပဇွန်ပိုင်ချောင် ဦးနှောင့်နန့် ချီးနန့်ရောနိန်ရေ။
လောင်းထက် ထူးဝါးရှည်ရေ။
ဝလုံးချသုတ်(ဝါးလုံး ချီးသုတ်)။
ခွီးလောက်ကျပိုင်ချောင်။
ဒရမ်းစည်ကို ခွီးသီးပေါက်တေပိုင်ချောင်။
ဆင်းရဲသားလထုတ် ကြွက်ကိုက်တေ။
ပင်လယ်ပြင်ကို င/ပိခပ်တေပိုင်ချောင်။
င/ပိ၊ဆားမပါရေ ဟင်းပိုင်။
မချစ်ကေလဲး အောင့်ကာနမ်း၊ မနမ်းချင်လေ့ ပင့်သက်ချူ။
တောင်းမာအကွပ် လူမာအဝတ်။
ဖားကိုတုလို့ ခရုခုံရေ။
အယင်လိုဂေ ဖြဖြည်းလုပ်။
ကိုယ့်ထိုက်နန့် ကိုယ့်ကံ။
ကစပ်ရာက ရန်စရေ။
အတတ်ကြူးဂေ အရူးဖြစ်။
သားသမီးချီးငွေ ကြက်သောက်ရီ နတ်ပင်ရွှီချ ပြန်မရ။
